amenity_name,n_properties
43-inch hdtv,2686
games console,2685
"coffee maker: keurig coffee machine, pour-over coffee",2663
shared pool - available all year,2649
clothes storage: wardrobe and wardrobe,2637
free driveway parking on premises – 6 spaces,2590
strandzugang – am strand,2586
cot – always at the listing,2570
65-inch hdtv,2555
folding or convertible high chair,2548
private hot tub - available all year,2529
backyard – fully fenced,2510
reinigung während des aufenthalts möglich,2500
"clothes storage: wardrobe, wardrobe and chest of drawers",2496
codeschloss,2488
55-inch hdtv with netflix,2481
"coffee maker: drip coffee maker, french press, keurig coffee machine",2475
"coffee maker: espresso machine, french press",2474
"shared outdoor pool - available all year, open specific hours, heated",2458
"coffee maker: filter coffee maker, keurig coffee machine",2444
children’s books and toys for ages 5–10 years old,2443
samsung  refrigerator,2426
exercise equipment: free weights,2422
blick in den garten,2419
private bbq grill: electric,2415
feuerstelle,2415
tv with chromecast,2403
zentrale klimaanlage,2396
frigidaire refrigerator,2388
32-inch tv,2382
changing table - always at the listing,2381
hochstuhl,2351
beko refrigerator,2348
free driveway parking on premises – 5 spaces,2341
minikühlschrank,2331
40-inch hdtv,2326
reisebett für kinder,2310
43 inch hdtv,2292
"private outdoor pool – available all year, open 24 hours, heated",2291
ev charger – level 1,2279
changing table - available upon request,2272
42-inch hdtv,2265
55-inch hdtv with roku,2264
bose bluetooth sound system,2264
ge stainless steel gas stove,2255
pack ’n play/travel cot,2254
samsung stainless steel electric stove,2249
backyard - fully fenced,2245
shared bbq grill,2234
55 inch hdtv with netflix,2220
skate ramp,2216
children’s books and toys for ages 5–10 years old and 10+ years old,2210
clothes storage: walk-in wardrobe and wardrobe,2204
"coffee maker: french press, keurig coffee machine",2197
paid standalone high chair – available upon request,2193
privater garten – komplett umzäunt,2186
kamin,2185
liegestühle,2172
whirlpool stainless steel electric stove,2159
32 inch tv,2140
highchair,2132
am wasser,2121
children’s books and toys for ages 0–2 years old,2121
shared back garden,2104
electrolux refrigerator,2102
whirlpool electric stove,2094
paid high chair – available upon request,2091
rauchen erlaubt,2082
blick auf die berge,2075
40 inch hdtv,2065
32-inch hdtv with standard cable,2051
samsung stainless steel oven,2031
exercise equipment: stationary bike,2030
42 inch hdtv,2023
game console: nintendo wii,2020
"private outdoor pool - available all year, open 24 hours, heated",2018
"housekeeping available 24 hours, every day - available at extra cost",2006
